"Time","Arrivals","vienna austria","hotel vienna","airport vienna","Vienna hostel"
2022-01-01,83516,22,16,20,15
2022-02-01,119662,25,19,19,23
2022-03-01,207436,26,24,23,29
2022-04-01,309430,30,28,29,32
2022-05-01,357870,29,31,33,36
2022-06-01,400990,32,34,40,40
2022-07-01,479254,36,34,46,46
2022-08-01,491841,36,37,39,43
2022-09-01,430081,34,35,39,38
2022-10-01,420644,38,34,34,35
2022-11-01,382567,31,33,30,32
2022-12-01,507623,30,31,32,29
2023-01-01,300725,31,32,31,31
2023-02-01,282043,29,29,31,35
2023-03-01,365916,32,32,32,38
2023-04-01,486084,33,33,37,40
2023-05-01,481997,33,31,35,39
2023-06-01,510293,36,33,41,41
2023-07-01,601463,38,36,43,42
2023-08-01,598537,39,40,43,37
2023-09-01,537942,37,38,40,35
2023-10-01,499856,36,38,36,35
2023-11-01,465322,36,39,32,37
2023-12-01,624115,33,37,36,32
2024-01-01,329729,34,35,33,32
2024-02-01,342186,32,37,32,38
2024-03-01,434001,34,36,36,38
2024-04-01,502524,36,37,43,42
2024-05-01,576241,41,37,43,39
2024-06-01,565637,38,40,46,40
2024-07-01,644764,43,40,51,43
2024-08-01,685138,48,43,48,43
2024-09-01,534797,43,42,50,37
2024-10-01,559126,37,44,40,35
2024-11-01,528636,37,42,34,38
2024-12-01,691247,39,39,35,35
2025-01-01,383336,34,37,32,36
2025-02-01,369026,35,36,29,37
2025-03-01,440076,35,37,33,41
2025-04-01,571353,36,38,36,41
2025-05-01,582010,38,38,39,41
2025-06-01,583482,37,39,40,40
2025-07-01,635739,42,45,48,49
2025-08-01,688018,87,100,100,93
2025-09-01,597143,67,93,85,93
2025-10-01,623054,64,86,70,99
2025-11-01,588581,73,95,78,100
2025-12-01,760422,100,82,75,82
